"","State","variable","value"
"1","AK","X10_mn_earnings",49300
"2","AL","X10_mn_earnings",40994
"3","AR","X10_mn_earnings",39252
"4","AZ","X10_mn_earnings",42600
"5","CA","X10_mn_earnings",49929
"6","CO","X10_mn_earnings",46283
"7","CT","X10_mn_earnings",56259
"8","DE","X10_mn_earnings",47200
"9","FL","X10_mn_earnings",42964
"10","GA","X10_mn_earnings",42170
"11","HI","X10_mn_earnings",39367
"12","IA","X10_mn_earnings",44911
"13","ID","X10_mn_earnings",40375
"14","IL","X10_mn_earnings",45984
"15","IN","X10_mn_earnings",43951
"16","KS","X10_mn_earnings",41881
"17","KY","X10_mn_earnings",40089
"18","LA","X10_mn_earnings",41600
"19","MA","X10_mn_earnings",54348
"20","MD","X10_mn_earnings",51796
"21","ME","X10_mn_earnings",47131
"22","MI","X10_mn_earnings",44747
"23","MN","X10_mn_earnings",45640
"24","MO","X10_mn_earnings",42107
"25","MS","X10_mn_earnings",38663
"26","MT","X10_mn_earnings",43014
"27","NC","X10_mn_earnings",41606
"28","ND","X10_mn_earnings",44438
"29","NE","X10_mn_earnings",44547
"30","NH","X10_mn_earnings",50754
"31","NJ","X10_mn_earnings",51923
"32","NM","X10_mn_earnings",38610
"33","NV","X10_mn_earnings",39000
"34","NY","X10_mn_earnings",48265
"35","OH","X10_mn_earnings",42940
"36","OK","X10_mn_earnings",40969
"37","OR","X10_mn_earnings",42744
"38","PA","X10_mn_earnings",48361
"39","RI","X10_mn_earnings",55456
"40","SC","X10_mn_earnings",38982
"41","SD","X10_mn_earnings",42336
"42","TN","X10_mn_earnings",40332
"43","TX","X10_mn_earnings",45126
"44","UT","X10_mn_earnings",43867
"45","VA","X10_mn_earnings",48273
"46","VT","X10_mn_earnings",40565
"47","WA","X10_mn_earnings",47817
"48","WI","X10_mn_earnings",44588
"49","WV","X10_mn_earnings",40255
"50","WY","X10_mn_earnings",50800
"51","AK","State_Per_Capita",55936
"52","AL","State_Per_Capita",39373
"53","AR","State_Per_Capita",39575
"54","AZ","State_Per_Capita",39415
"55","CA","State_Per_Capita",53434
"56","CO","State_Per_Capita",50788
"57","CT","State_Per_Capita",67714
"58","DE","State_Per_Capita",47989
"59","FL","State_Per_Capita",44478
"60","GA","State_Per_Capita",41040
"61","HI","State_Per_Capita",48378
"62","IA","State_Per_Capita",45228
"63","ID","State_Per_Capita",37729
"64","IL","State_Per_Capita",50287
"65","IN","State_Per_Capita",41534
"66","KS","State_Per_Capita",46102
"67","KY","State_Per_Capita",39593
"68","LA","State_Per_Capita",43721
"69","MA","State_Per_Capita",61726
"70","MD","State_Per_Capita",56799
"71","ME","State_Per_Capita",42689
"72","MI","State_Per_Capita",43190
"73","MN","State_Per_Capita",50960
"74","MO","State_Per_Capita",43290
"75","MS","State_Per_Capita",35840
"76","MT","State_Per_Capita",41583
"77","NC","State_Per_Capita",41099
"78","ND","State_Per_Capita",53841
"79","NE","State_Per_Capita",48162
"80","NH","State_Per_Capita",55715
"81","NJ","State_Per_Capita",60587
"82","NM","State_Per_Capita",38877
"83","NV","State_Per_Capita",42624
"84","NY","State_Per_Capita",58513
"85","OH","State_Per_Capita",44082
"86","OK","State_Per_Capita",44186
"87","OR","State_Per_Capita",43408
"88","PA","State_Per_Capita",49767
"89","RI","State_Per_Capita",50653
"90","SC","State_Per_Capita",38500
"91","SD","State_Per_Capita",45414
"92","TN","State_Per_Capita",42724
"93","TX","State_Per_Capita",46931
"94","UT","State_Per_Capita",39433
"95","VA","State_Per_Capita",52865
"96","VT","State_Per_Capita",48562
"97","WA","State_Per_Capita",51557
"98","WI","State_Per_Capita",46176
"99","WV","State_Per_Capita",37314
"100","WY","State_Per_Capita",55276
